Artist,Title,Streams
Thomas Rhett,Die A Happy Man,6302023
Bruno Mars,Finesse (Remix) [feat. Cardi B],6280603
Sia,Cheap Thrills,6275365
Grey,I Miss You,6243755
Kiiara,Gold,6241452
FRENSHIP,Capsize,6087588
KREAM,Taped Up Heart (feat. Clara Mae),6051153
Huncho Jack,Eye 2 Eye,5998788
Paramore,Hard Times,5967874
Adele,Send My Love (To Your New Lover),5965417
Future,Feed Me Dope,5928699
Thomas Rhett,Marry Me,5893170
XXXTENTACION,Orlando,5884557
Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),5851827
Lorde,Homemade Dynamite - REMIX,5761830
Bruno Mars,Versace On The Floor,5752675
Bobby Helms,Jingle Bell Rock,5751565
Rita Ora,Anywhere,5721894
Jonas Blue,By Your Side,5707783
Big Sean,Pull Up N Wreck (& Metro Boomin),5704578
22 Savage,The Race,5691910
Lil Uzi Vert,For Real,5672275
DJ Khaled,Don't Quit,5640296
Mustard,Want Her,5604489
Linkin Park,In The End,5593134
The Weeknd,Secrets,5587057
R3HAB,I Just Can't,5565868
Lil Uzi Vert,Two®,5475481
Lana Del Rey,Summer Bummer (feat. A$AP Rocky & Playboi Carti),5350292
Big Sean,Owe Me,5349983
Kygo,Kids in Love,5336676
Rae Sremmurd,No Type,5313677
Chris Young,Losing Sleep,5296888
Meek Mill,Whatever You Need (feat. Chris Brown & Ty Dolla $ign),5283971
Bryson Tiller,Let Me Explain,5280568
Pentatonix,"Mary, Did You Know?",5266197
JAY Z,Ni**as In Paris,5261148
The Weeknd,Reminder - Remix,5260581
Lorde,Liability,5223053
Huncho Jack,Motorcycle Patches,5210708
Chucho Flash,Tu Sabes Que Te Quiero,5186043
XXXTENTACION,Dead Inside (Interlude),5100805
Justin Bieber,Sorry,5082399
Big Sean,Living Single,5067021
Lana Del Rey,Lust for Life (with The Weeknd),5041913
James Bay,Let It Go,4940852
Eminem,Believe,4857849
Jason Derulo,If I'm Lucky,4856244
J. Cole,Change,4855312
The Weeknd,Rockin’,4844165
Future,Sorry,4834360
Marc E. Bassy,You & Me,4796598
Lorde,Perfect Places,4755382
Maluma,Corazón,4730956
Big Sean,So Good (& Metro Boomin),4696982
Rick Ross,Trap Trap Trap,4694485
YoungBoy Never Broke Again,No Smoke,4676442
Desiigner,Tiimmy Turner,4606375
Lil Uzi Vert,No Sleep Leak,4595897
Kendrick Lamar,All The Stars (with SZA),4565789
Calvin Harris,My Way,4553649
A$AP Mob,Crazy Brazy,4540489
Linkin Park,Numb,4438401
Alan Walker,All Falls Down,4432665
Sam Smith,Burning,4420071
Logic,Killing Spree,4405396
Offset,Nightmare,4373968
Chance The Rapper,Smoke Break (feat. Future),4340614
21 Savage,Bad Business,4312428
Harry Styles,Carolina,4293983
Migos,Brown Paper Bag,4291832
DRAM,Cash Machine,4267624
Flume,Say It (feat. Tove Lo),4228138
Kodak Black,Conscience (feat. Future),4203717
21 Savage,Mad Stalkers,4197020
Zac Efron,Rewrite The Stars,4193975
Sia,The Greatest,4184547
Future,Extra Luv,4179709
Lil Uzi Vert,20 Min,4171730
Lil Uzi Vert,Feelings Mutual,4092741
NexXthursday,Sway (feat. Quavo & Lil Yachty),4088511
The Killers,Mr. Brightside,4079459
Logic,Take It Back,4068346
Future,Super Trapper,4060572
Becky G,Mayores,4060017
MiC LOWRY,Oh Lord,4047096
Frank Sinatra,Mistletoe And Holly - 1999 - Remaster,4041953
Big Sean,Voices In My Head/Stick To The Plan,4033201
Dua Lipa,IDGAF,4010068
21 Savage,Disrespectful,4009692
Taylor Swift,I Did Something Bad,3959397
ZAYN,PILLOWTALK,3950976
Huncho Jack,Huncho Jack,3939085
Halsey,Strangers,3932158
Kesha,Learn To Let Go,3929944
French Montana,A Lie,3872078
Thomas Rhett,Star Of The Show,3829685
Russell Dickerson,Yours,3793073
Chris Jeday,Ahora Dice,3784102
Keala Settle,This Is Me,3760676
Yo Gotti,Castro,3756215
